ano,regiao,uf_sigla,municipio,categoria,nivel_atencao,numero_prof_padronizado
2015,Região Centro-Oeste,GO,Luziânia,Nutricionista,Secundária,1.0
2022,Região Centro-Oeste,GO,Cidade Ocidental,Técnico em Radiologia e Imagenologia,Terciária,4.2
2022,Região Centro-Oeste,GO,Luziânia,Técnico em Radiologia e Imagenologia,Terciária,4.35
2022,Região Centro-Oeste,GO,Novo Gama,Assistente Social,Secundária,1.75
2022,Região Centro-Oeste,GO,Valparaíso de Goiás,Farmacêutico,Primária,9.0
2020,Região Centro-Oeste,GO,Luziânia,Médico,OUTROS/MÚLTIPLOS,11.8
2024,Região Centro-Oeste,GO,Novo Gama,Cirurgião Dentista,Primária,20.5
2024,Região Centro-Oeste,GO,Santo Antônio do Descoberto,Enfermeiro,Primária,21.675
2018,Região Centro-Oeste,GO,Cristalina,Biólogo,OUTROS/MÚLTIPLOS,0.8
2009,Região Centro-Oeste,GO,Novo Gama,Enfermeiro,Primária,19.0
2009,Região Centro-Oeste,GO,Novo Gama,Médico Veterinário,Primária,0.5
2017,Região Centro-Oeste,GO,Cidade Ocidental,Técnico ou Auxiliar de Enfermagem,OUTROS/MÚLTIPLOS,2.75
2014,Região Centro-Oeste,GO,Luziânia,Técnico ou Auxiliar de Enfermagem,Terciária,106.35
2014,Região Centro-Oeste,GO,Santo Antônio do Descoberto,Farmacêutico,Terciária,5.0
2014,Região Centro-Oeste,GO,Valparaíso de Goiás,Técnico ou Auxiliar de Enfermagem,Terciária,27.0
2021,Região Centro-Oeste,GO,Águas Lindas de Goiás,Nutricionista,Terciária,1.0
2021,Região Centro-Oeste,GO,Cidade Ocidental,Enfermeiro,Secundária,1.25
2021,Região Centro-Oeste,GO,Luziânia,Biólogo,Primária,0.75
2021,Região Centro-Oeste,GO,Novo Gama,Técnico ou Auxiliar de Enfermagem,Primária,63.5
2019,Região Centro-Oeste,GO,Luziânia,Enfermeiro,Terciária,3.225
2019,Região Centro-Oeste,GO,Luziânia,Assistente Social,Primária,4.5
2019,Região Centro-Oeste,GO,Santo Antônio do Descoberto,Técnico ou Auxiliar de Saúde Bucal,Secundária,3.1
2026,Região Centro-Oeste,GO,Águas Lindas de Goiás,Assistente Social,OUTROS/MÚLTIPLOS,1.5
2026,Região Centro-Oeste,GO,Cidade Ocidental,Psicólogo,Secundária,6.85
2026,Região Centro-Oeste,GO,Luziânia,Técnico ou Auxiliar de Saúde Bucal,Secundária,23.3
2026,Região Centro-Oeste,GO,Novo Gama,Nutricionista,Primária,2.2
2026,Região Centro-Oeste,GO,Santo Antônio do Descoberto,Psicólogo,Primária,6.0
2011,Região Centro-Oeste,GO,Valparaíso de Goiás,Técnico ou Auxiliar de Enfermagem,Secundária,25.1
2023,Região Centro-Oeste,GO,Santo Antônio do Descoberto,Farmacêutico,OUTROS/MÚLTIPLOS,0.5
2016,Região Centro-Oeste,GO,Cristalina,Terapeuta Ocupacional,Secundária,0.5
2016,Região Centro-Oeste,GO,Cristalina,Técnico ou Auxiliar de Prótese Dentária,Secundária,0.5
2016,Região Centro-Oeste,GO,Novo Gama,Farmacêutico,Secundária,2.0
2010,Região Centro-Oeste,GO,Luziânia,Técnico em Radiologia e Imagenologia,Primária,1.25
2013,Região Centro-Oeste,GO,Valparaíso de Goiás,Médico Veterinário,OUTROS/MÚLTIPLOS,1.5
2008,Região Centro-Oeste,GO,Cidade Ocidental,Biólogo,Terciária,2.25
